,p_conc,initial_prediction,refined_prediction_0,refined_prediction_1,refined_prediction_2,y_true,tau,regime
9,"(array([-0.01253968,  0.00015724]), array([7.41451849e-03, 5.49750845e-05]), array([0.01102885, 0.00012164]), array([1.10839775e-03, 1.22854557e-06]), array([-8.55178890e-03,  7.31330934e-05]), array([-0.01111171,  0.00012347]), array([0.0171038 , 0.00029254]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0002978125,0.0002,7.351006635832677e-05,0.0002,7.351006635832677e-05,0.00010219416970491771,low
10,"(array([7.41451849e-03, 5.49750845e-05]), array([0.01102885, 0.00012164]), array([1.10839775e-03, 1.22854557e-06]), array([-8.55178890e-03,  7.31330934e-05]), array([-0.01111171,  0.00012347]), array([0.0171038 , 0.00029254]), array([-8.57380116e-03,  7.35100664e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0007860364815769,0.0002,9.22476200643102e-05,0.0002,9.224762006431019e-05,0.00010219416970491771,low
11,"(array([0.01102885, 0.00012164]), array([1.10839775e-03, 1.22854557e-06]), array([-8.55178890e-03,  7.31330934e-05]), array([-0.01111171,  0.00012347]), array([0.0171038 , 0.00029254]), array([-8.57380116e-03,  7.35100664e-05]), array([9.60456246e-03, 9.22476201e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.00012347,4.888e-05,4.888e-05,0.0002,4.888858399316274e-05,0.00010219416970491771,low
12,"(array([1.10839775e-03, 1.22854557e-06]), array([-8.55178890e-03,  7.31330934e-05]), array([-0.01111171,  0.00012347]), array([0.0171038 , 0.00029254]), array([-8.57380116e-03,  7.35100664e-05]), array([9.60456246e-03, 9.22476201e-05]), array([6.99203718e-03, 4.88885840e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",1.152462343059481e-05,0.0001,0.000224,0.0001,0.00022492839018958553,0.00010219416970491771,high
13,"(array([-8.55178890e-03,  7.31330934e-05]), array([-0.01111171,  0.00012347]), array([0.0171038 , 0.00029254]), array([-8.57380116e-03,  7.35100664e-05]), array([9.60456246e-03, 9.22476201e-05]), array([6.99203718e-03, 4.88885840e-05]), array([-0.01499761,  0.00022493]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.00044869,0.000475,0.0005,0.0004,0.0005004388404186555,0.00010219416970491771,high
14,"(array([-0.01111171,  0.00012347]), array([0.0171038 , 0.00029254]), array([-8.57380116e-03,  7.35100664e-05]), array([9.60456246e-03, 9.22476201e-05]), array([6.99203718e-03, 4.88885840e-05]), array([-0.01499761,  0.00022493]), array([-0.02237049,  0.00050044]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.00050044,0.0003,7.969734775407264e-07,0.0003,7.969734775407264e-07,0.00010219416970491771,low
15,"(array([0.0171038 , 0.00029254]), array([-8.57380116e-03,  7.35100664e-05]), array([9.60456246e-03, 9.22476201e-05]), array([6.99203718e-03, 4.88885840e-05]), array([-0.01499761,  0.00022493]), array([-0.02237049,  0.00050044]), array([-8.92733710e-04,  7.96973478e-07]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",5.404e-09,6.824e-05,0.0002,6.8e-05,6.824260603893925e-05,0.00010219416970491771,low
16,"(array([-8.57380116e-03,  7.35100664e-05]), array([9.60456246e-03, 9.22476201e-05]), array([6.99203718e-03, 4.88885840e-05]), array([-0.01499761,  0.00022493]), array([-0.02237049,  0.00050044]), array([-8.92733710e-04,  7.96973478e-07]), array([-8.26090831e-03,  6.82426060e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0001731045850077,1.8e-05,1.8e-05,0.0001,1.7817553900124432e-05,0.00010219416970491771,low
17,"(array([9.60456246e-03, 9.22476201e-05]), array([6.99203718e-03, 4.88885840e-05]), array([-0.01499761,  0.00022493]), array([-0.02237049,  0.00050044]), array([-8.92733710e-04,  7.96973478e-07]), array([-8.26090831e-03,  6.82426060e-05]), array([4.22108445e-03, 1.78175539e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.000102,0.000122,0.0001224518712889,0.0,0.0001224518712889664,0.00010219416970491771,high
18,"(array([6.99203718e-03, 4.88885840e-05]), array([-0.01499761,  0.00022493]), array([-0.02237049,  0.00050044]), array([-8.92733710e-04,  7.96973478e-07]), array([-8.26090831e-03,  6.82426060e-05]), array([4.22108445e-03, 1.78175539e-05]), array([0.0110658 , 0.00012245]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.000121322589049,4.704731575651775e-05,0.0001,4.704731575651775e-05,4.704731575651775e-05,0.00010219416970491771,low
19,"(array([-0.01499761,  0.00022493]), array([-0.02237049,  0.00050044]), array([-8.92733710e-04,  7.96973478e-07]), array([-8.26090831e-03,  6.82426060e-05]), array([4.22108445e-03, 1.78175539e-05]), array([0.0110658 , 0.00012245]), array([6.85910459e-03, 4.70473158e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0001353411044463,0.0001,2.5e-05,2.6e-05,2.6194853479222738e-05,0.00010219416970491771,low
20,"(array([-0.02237049,  0.00050044]), array([-8.92733710e-04,  7.96973478e-07]), array([-8.26090831e-03,  6.82426060e-05]), array([4.22108445e-03, 1.78175539e-05]), array([0.0110658 , 0.00012245]), array([6.85910459e-03, 4.70473158e-05]), array([-5.11809080e-03,  2.61948535e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",5.214687540583502e-05,4.445720267500808e-05,0.0001,4.445720267500808e-05,4.4457202675008075e-05,0.00010219416970491771,low
21,"(array([-8.92733710e-04,  7.96973478e-07]), array([-8.26090831e-03,  6.82426060e-05]), array([4.22108445e-03, 1.78175539e-05]), array([0.0110658 , 0.00012245]), array([6.85910459e-03, 4.70473158e-05]), array([-5.11809080e-03,  2.61948535e-05]), array([6.66762347e-03, 4.44572027e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",4.445e-05,1.9344445654002854e-07,1e-07,1.9344445654002854e-07,1.9344445654002854e-07,0.00010219416970491771,low
22,"(array([-8.26090831e-03,  6.82426060e-05]), array([4.22108445e-03, 1.78175539e-05]), array([0.0110658 , 0.00012245]), array([6.85910459e-03, 4.70473158e-05]), array([-5.11809080e-03,  2.61948535e-05]), array([6.66762347e-03, 4.44572027e-05]), array([-4.39823211e-04,  1.93444457e-07]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0007570648571399,2.395732553375225e-06,0.0,2.395732553375225e-06,2.395732553375225e-06,0.00010219416970491771,low
23,"(array([4.22108445e-03, 1.78175539e-05]), array([0.0110658 , 0.00012245]), array([6.85910459e-03, 4.70473158e-05]), array([-5.11809080e-03,  2.61948535e-05]), array([6.66762347e-03, 4.44572027e-05]), array([-4.39823211e-04,  1.93444457e-07]), array([1.54781541e-03, 2.39573255e-06]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0003787505556744,5.644541917431492e-05,5.6e-05,5e-05,5.644541917431492e-05,0.00010219416970491771,low
24,"(array([0.0110658 , 0.00012245]), array([6.85910459e-03, 4.70473158e-05]), array([-5.11809080e-03,  2.61948535e-05]), array([6.66762347e-03, 4.44572027e-05]), array([-4.39823211e-04,  1.93444457e-07]), array([1.54781541e-03, 2.39573255e-06]), array([7.51301665e-03, 5.64454192e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",2.056e-05,1.7411727826109738e-05,1e-05,1.7411727826109738e-05,1.7411727826109738e-05,0.00010219416970491771,low
25,"(array([6.85910459e-03, 4.70473158e-05]), array([-5.11809080e-03,  2.61948535e-05]), array([6.66762347e-03, 4.44572027e-05]), array([-4.39823211e-04,  1.93444457e-07]), array([1.54781541e-03, 2.39573255e-06]), array([7.51301665e-03, 5.64454192e-05]), array([4.17273625e-03, 1.74117278e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",2.805433850733773e-05,2e-05,2.3e-05,2e-05,2.375265555620088e-05,0.00010219416970491771,low
26,"(array([-5.11809080e-03,  2.61948535e-05]), array([6.66762347e-03, 4.44572027e-05]), array([-4.39823211e-04,  1.93444457e-07]), array([1.54781541e-03, 2.39573255e-06]), array([7.51301665e-03, 5.64454192e-05]), array([4.17273625e-03, 1.74117278e-05]), array([4.87366962e-03, 2.37526556e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0001544174371468,2.9761301797418774e-05,2.5e-05,2e-05,2.9761301797418774e-05,0.00010219416970491771,low
27,"(array([6.66762347e-03, 4.44572027e-05]), array([-4.39823211e-04,  1.93444457e-07]), array([1.54781541e-03, 2.39573255e-06]), array([7.51301665e-03, 5.64454192e-05]), array([4.17273625e-03, 1.74117278e-05]), array([4.87366962e-03, 2.37526556e-05]), array([5.45539199e-03, 2.97613018e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",3.22e-05,8.406374788761598e-05,8.406374788761598e-05,8.406374887761598e-05,8.406374788761598e-05,0.00010219416970491771,low
28,"(array([-4.39823211e-04,  1.93444457e-07]), array([1.54781541e-03, 2.39573255e-06]), array([7.51301665e-03, 5.64454192e-05]), array([4.17273625e-03, 1.74117278e-05]), array([4.87366962e-03, 2.37526556e-05]), array([5.45539199e-03, 2.97613018e-05]), array([9.16862846e-03, 8.40637479e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.000122044885625,1.1683901893044036e-05,1e-05,1.2e-05,1.1683901893044036e-05,0.00010219416970491771,low
