p_conc,initial_prediction
"(array([-2.35325461e-03,  5.53780726e-06]), array([-9.12621129e-04,  8.32877325e-07]), array([3.02284670e-04, 9.13760216e-08]), array([1.49798284e-03, 2.24395258e-06]), array([-5.56834752e-03,  3.10064941e-05]), array([4.42090046e-03, 1.95443609e-05]), array([-0.01570673,  0.0002467 ]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0002467
"(array([-9.12621129e-04,  8.32877325e-07]), array([3.02284670e-04, 9.13760216e-08]), array([1.49798284e-03, 2.24395258e-06]), array([-5.56834752e-03,  3.10064941e-05]), array([4.42090046e-03, 1.95443609e-05]), array([-0.01570673,  0.0002467 ]), array([4.22649720e-03, 1.78632786e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.00018654801730026775
"(array([3.02284670e-04, 9.13760216e-08]), array([1.49798284e-03, 2.24395258e-06]), array([-5.56834752e-03,  3.10064941e-05]), array([4.42090046e-03, 1.95443609e-05]), array([-0.01570673,  0.0002467 ]), array([4.22649720e-03, 1.78632786e-05]), array([-2.79729023e-03,  7.82483263e-06]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",1.46873e-05
"(array([1.49798284e-03, 2.24395258e-06]), array([-5.56834752e-03,  3.10064941e-05]), array([4.42090046e-03, 1.95443609e-05]), array([-0.01570673,  0.0002467 ]), array([4.22649720e-03, 1.78632786e-05]), array([-2.79729023e-03,  7.82483263e-06]), array([-0.01253968,  0.00015724]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.00012178537261239724
"(array([-5.56834752e-03,  3.10064941e-05]), array([4.42090046e-03, 1.95443609e-05]), array([-0.01570673,  0.0002467 ]), array([4.22649720e-03, 1.78632786e-05]), array([-2.79729023e-03,  7.82483263e-06]), array([-0.01253968,  0.00015724]), array([7.41451849e-03, 5.49750845e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.00011940310379363598
"(array([4.42090046e-03, 1.95443609e-05]), array([-0.01570673,  0.0002467 ]), array([4.22649720e-03, 1.78632786e-05]), array([-2.79729023e-03,  7.82483263e-06]), array([-0.01253968,  0.00015724]), array([7.41451849e-03, 5.49750845e-05]), array([0.01102885, 0.00012164]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0002044301536
"(array([-0.01570673,  0.0002467 ]), array([4.22649720e-03, 1.78632786e-05]), array([-2.79729023e-03,  7.82483263e-06]), array([-0.01253968,  0.00015724]), array([7.41451849e-03, 5.49750845e-05]), array([0.01102885, 0.00012164]), array([1.10839775e-03, 1.22854557e-06]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",1.1602e-06
"(array([4.22649720e-03, 1.78632786e-05]), array([-2.79729023e-03,  7.82483263e-06]), array([-0.01253968,  0.00015724]), array([7.41451849e-03, 5.49750845e-05]), array([0.01102885, 0.00012164]), array([1.10839775e-03, 1.22854557e-06]), array([-8.55178890e-03,  7.31330934e-05]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0001333249
"(array([-2.79729023e-03,  7.82483263e-06]), array([-0.01253968,  0.00015724]), array([7.41451849e-03, 5.49750845e-05]), array([0.01102885, 0.00012164]), array([1.10839775e-03, 1.22854557e-06]), array([-8.55178890e-03,  7.31330934e-05]), array([-0.01111171,  0.00012347]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.00012347
"(array([-0.01253968,  0.00015724]), array([7.41451849e-03, 5.49750845e-05]), array([0.01102885, 0.00012164]), array([1.10839775e-03, 1.22854557e-06]), array([-8.55178890e-03,  7.31330934e-05]), array([-0.01111171,  0.00012347]), array([0.0171038 , 0.00029254]))
You are given a chronological sequence of observations for a financial asset.
Each row reports the 1-period log return log_r and the realized variance rv 
where rv = log_r^2.
It's arranged chronologically, [array([log_r_1, rv_1]), array([log_r_2, rv_2]), .....]
",0.0002978125
